housing_id,student_id,residence_hall,room_number,move_in_date,move_out_date,housing_status
H000001,S001939,Founders Hall,290,2023-09-26,2023-12-06,Moved Out
H000002,S007647,Founders Hall,224,2025-11-20,,Active
H000003,S007430,Maple Ridge Hall,285,2025-10-08,,Active
H000004,S004557,Sunrise Commons,228,2025-12-28,2026-05-29,Moved Out
H000005,S004022,Sunrise Commons,283,2025-05-04,,Active
H000006,S009670,Maple Ridge Hall,476,2024-11-30,,Active
H000007,S008985,Riverbend Hall,144,2026-04-02,2026-08-20,Moved Out
H000008,S007553,Lakeside Terrace,179,2026-01-02,,Active
H000009,S003009,Birchwood Hall,289,2023-10-10,,Active
H000010,S005887,Cedar Crest Hall,434,2026-01-18,,Active
H000011,S001988,Birchwood Hall,282,2024-04-28,,Active
H000012,S007361,Northgate Hall,153,2023-10-16,,Active
H000013,S005571,Meadowbrook Hall,192,2024-09-05,2025-05-05,Moved Out
H000014,S004299,Highland Hall,251,2024-01-16,,Active
H000015,S007937,Founders Hall,394,2026-04-26,,Active
H000016,S001788,Summit House,223,2025-03-29,,Active
H000017,S000486,Northgate Hall,422,2026-07-25,,Active
H000018,S009341,Harborview Hall,546,2023-10-24,2024-04-22,Moved Out
H000019,S003775,Birchwood Hall,369,2024-09-09,,Active
H000020,S005810,Cedar Crest Hall,200,2024-09-18,,Active
H000021,S000832,Highland Hall,470,2024-12-06,2025-07-22,Moved Out
H000022,S003573,Aspen Court,177,2026-07-10,,Active
H000023,S000451,Meadowbrook Hall,477,2025-05-06,2025-11-24,Moved Out
H000024,S006874,Sunrise Commons,354,2025-03-23,,Active
H000025,S004070,Maple Ridge Hall,139,2024-07-11,2025-05-03,Moved Out
H000026,S005096,Cedar Crest Hall,294,2023-10-02,,Active
H000027,S001635,Northgate Hall,430,2024-07-05,,Active
H000028,S000426,Founders Hall,598,2026-04-30,2026-08-20,Moved Out
H000029,S001673,Lakeside Terrace,533,2024-07-07,,Active
H000030,S009535,Riverbend Hall,387,2025-06-13,,Active
H000031,S000144,Cedar Crest Hall,333,2025-11-28,2026-02-20,Moved Out
H000032,S007274,Willow Creek Hall,103,2026-12-14,,Active
H000033,S002789,Northgate Hall,566,2025-02-05,,Active
H000034,S001772,Maple Ridge Hall,265,2026-03-30,,Active
H000035,S004288,Sunrise Commons,521,2025-12-15,,Active
H000036,S005323,Highland Hall,565,2024-06-23,,Active
H000037,S000352,Summit House,165,2025-11-01,2026-05-03,Moved Out
H000038,S007233,Founders Hall,523,2026-05-17,2026-08-10,Moved Out
H000039,S006586,Riverbend Hall,584,2026-04-11,2026-08-20,Moved Out
H000040,S003438,Maple Ridge Hall,180,2026-08-01,,Active
H000041,S001392,Highland Hall,376,2025-10-27,,Active
H000042,S001317,Aspen Court,426,2024-01-14,2024-07-04,Moved Out
H000043,S005265,Riverbend Hall,508,2026-01-06,,Active
H000044,S008378,Birchwood Hall,479,2024-02-07,2024-05-02,Moved Out
H000045,S003672,Founders Hall,492,2024-04-18,,Active
H000046,S003869,Bellview Hall,216,2025-01-20,,Active
H000047,S002839,Maple Ridge Hall,422,2024-02-16,,Active
H000048,S001595,Maple Ridge Hall,150,2024-08-01,,Active
H000049,S007038,Founders Hall,305,2025-01-06,2025-10-20,Moved Out
H000050,S005181,Cedar Crest Hall,551,2025-09-16,2025-12-23,Moved Out
H000051,S007231,Highland Hall,307,2025-10-28,2026-08-09,Moved Out
H000052,S004187,Sunrise Commons,556,2025-12-05,2026-03-20,Moved Out
H000053,S002305,Harborview Hall,552,2026-04-14,,Active
H000054,S006355,Birchwood Hall,544,2024-07-05,,Active
H000055,S005123,Cedar Crest Hall,518,2024-12-09,,Active
H000056,S008899,Aspen Court,288,2026-02-28,,Active
H000057,S008060,Maple Ridge Hall,581,2025-10-04,,Active
H000058,S004515,Northgate Hall,347,2025-01-15,,Active
H000059,S002089,Northgate Hall,461,2026-05-14,2026-08-20,Moved Out
H000060,S004508,Meadowbrook Hall,593,2025-07-30,,Active
H000061,S009797,Bellview Hall,386,2025-06-26,,Active
H000062,S005898,Birchwood Hall,535,2025-03-06,,Active
H000063,S001020,Sunrise Commons,277,2026-08-13,,Active
H000064,S005001,Riverbend Hall,230,2024-12-03,,Active
H000065,S001634,Maple Ridge Hall,471,2025-10-23,,Active
H000066,S005875,Cedar Crest Hall,451,2024-06-16,2025-01-27,Moved Out
H000067,S008572,Sunrise Commons,502,2024-08-15,,Active
H000068,S005748,Riverbend Hall,432,2025-07-22,2025-10-24,Moved Out
