case_id,student_id,course_code,course_name,faculty_name,incident_date,violation_type,severity,status,description
AI000001,S008554,ENG307,Intermediate English,Dr. Joseph Wright,2024-08-01,Unauthorized Materials,Minor,Resolved - Sanction Issued,"During grading, Dr. Joseph Wright identified indicators consistent with unauthorized materials."
AI000002,S004480,BUS222,Intermediate Business Administration,Prof. Alexander Le,2024-08-01,Unauthorized Collaboration,Moderate,Resolved - No Violation Found,A case of unauthorized collaboration was flagged via the course's academic integrity review process.
AI000003,S005948,BUS229,Intermediate Business Administration,Prof. Kenneth Fowler,2024-08-02,Unauthorized Materials,Moderate,Resolved - No Violation Found,Prof. Kenneth Fowler submitted a report alleging unauthorized materials in BUS229.
AI000004,S005829,MATH369,Mathematics Fundamentals,Dr. Rita Harrell,2024-08-04,Unauthorized Use of AI Tools,Moderate,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for unauthorized use of ai tools.
AI000005,S006473,PSY182,Psychology Seminar,Dr. Melanie Munoz,2024-08-06,Fabrication of Data,Moderate,Under Investigation,Faculty member reported a suspected case of fabrication of data in a submitted assignment.
AI000006,S008207,PHYS401,Physics Fundamentals,Dr. Debra Gardner,2024-08-06,Plagiarism,Moderate,Resolved - Sanction Issued,Dr. Debra Gardner submitted a report alleging plagiarism in PHYS401.
AI000007,S009031,CHEM421,Intermediate Chemistry,Prof. Craig Ramirez,2024-08-08,Unauthorized Use of AI Tools,Minor,Pending Review,Faculty member reported a suspected case of unauthorized use of ai tools in a submitted assignment.
AI000008,S003249,CHEM251,Introduction to Chemistry,Prof. Leslie Adams,2024-08-09,Unauthorized Use of AI Tools,Moderate,Resolved - Sanction Issued,Faculty member reported a suspected case of unauthorized use of ai tools in a submitted assignment.
AI000009,S008939,PHYS248,Intermediate Physics,Dr. Christopher Williams,2024-08-10,Cheating on Exam,Moderate,Resolved - Sanction Issued,Dr. Christopher Williams submitted a report alleging cheating on exam in PHYS248.
AI000010,S001473,ME191,Advanced Mechanical Engineering,Dr. Patricia Miller,2024-08-10,Contract Cheating,Minor,Resolved - Sanction Issued,Dr. Patricia Miller submitted a report alleging contract cheating in ME191.
AI000011,S001525,ENG109,Topics in English,Prof. Christopher Hall,2024-08-11,Fabrication of Data,Minor,Resolved - Sanction Issued,"During grading, Prof. Christopher Hall identified indicators consistent with fabrication of data."
AI000012,S005338,PSY135,Principles of Psychology,Dr. Angela Cohen,2024-08-11,Contract Cheating,Moderate,Under Investigation,Faculty member reported a suspected case of contract cheating in a submitted assignment.
AI000013,S007354,ENG279,English Fundamentals,Dr. Debra Gardner,2024-08-12,Cheating on Exam,Moderate,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for cheating on exam.
AI000014,S002907,HIST280,Introduction to History,Prof. Maria Montgomery,2024-08-19,Contract Cheating,Serious,Resolved - Sanction Issued,Faculty member reported a suspected case of contract cheating in a submitted assignment.
