report_id,reported_student_id,reporter_type,submitted_date,category,location,priority,description,anonymous
WR000001,S008933,Staff,2024-08-01,Other,East Lot,Low,Reporter describes an incident involving other that occurred at East Lot.,False
WR000002,S004390,Staff,2024-08-02,Hazing,Engineering Annex,High,Reporter states they witnessed behavior consistent with hazing.,False
WR000003,,Faculty,2024-08-02,Discrimination,Off-Campus Housing,Low,Concern raised about discrimination; reporter requests follow-up from staff.,False
WR000004,,Community Member,2024-08-03,Bias Incident,Founders Hall,High,Submission describes an ongoing issue related to bias incident at Founders Hall.,False
WR000005,S006710,Community Member,2024-08-04,Property Damage,Recreation Center,Medium,Submission describes an ongoing issue related to property damage at Recreation Center.,False
WR000006,S005488,Staff,2024-08-04,Safety Hazard,Stadium,High,Concern raised about safety hazard; reporter requests follow-up from staff.,False
WR000007,,Parent,2024-08-04,Academic Dishonesty,Recreation Center,High,A concern was submitted regarding possible academic dishonesty near Recreation Center.,False
WR000008,S000587,Faculty,2024-08-05,Discrimination,Science Building,Low,A concern was submitted regarding possible discrimination near Science Building.,False
WR000009,S009067,Student,2024-08-05,Property Damage,Online / Remote,Low,A concern was submitted regarding possible property damage near Online / Remote.,False
WR000010,S002722,Faculty,2024-08-05,Safety Hazard,Riverbend Hall,Medium,Concern raised about safety hazard; reporter requests follow-up from staff.,False
WR000011,,Anonymous,2024-08-07,Academic Dishonesty,Founders Hall,High,Concern raised about academic dishonesty; reporter requests follow-up from staff.,True
WR000012,S007394,Student,2024-08-07,Mental Health Concern,Sunrise Commons,High,Submission describes an ongoing issue related to mental health concern at Sunrise Commons.,False
WR000013,S000053,Faculty,2024-08-10,Hazing,Bellview Hall,Low,Reporter states they witnessed behavior consistent with hazing.,False
WR000014,S006872,Anonymous,2024-08-13,Bullying/Harassment,Off-Campus Housing,High,Reporter describes an incident involving bullying/harassment that occurred at Off-Campus Housing.,True
WR000015,,Student,2024-08-15,Academic Dishonesty,Meadowbrook Hall,Low,Reporter states they witnessed behavior consistent with academic dishonesty.,False
WR000016,S006260,Community Member,2024-08-15,Academic Dishonesty,Main Quad,Low,Submission describes an ongoing issue related to academic dishonesty at Main Quad.,False
WR000017,S007025,Community Member,2024-08-16,Alcohol/Drug Concern,Sunrise Commons,Low,Concern raised about alcohol/drug concern; reporter requests follow-up from staff.,False
WR000018,S009648,Anonymous,2024-08-16,Hazing,Library,Urgent,Concern raised about hazing; reporter requests follow-up from staff.,True
WR000019,S002921,Anonymous,2024-08-16,Alcohol/Drug Concern,Bellview Hall,Medium,A concern was submitted regarding possible alcohol/drug concern near Bellview Hall.,True
WR000020,,Staff,2024-08-18,Theft,Off-Campus Housing,Medium,Concern raised about theft; reporter requests follow-up from staff.,False
WR000021,S004819,Anonymous,2024-08-20,Bullying/Harassment,Recreation Center,Low,A concern was submitted regarding possible bullying/harassment near Recreation Center.,True
WR000022,S008053,Student,2024-08-20,Theft,Founders Hall,Urgent,Concern raised about theft; reporter requests follow-up from staff.,False
WR000023,S005187,Anonymous,2024-08-20,Safety Hazard,Lakeside Terrace,Medium,A concern was submitted regarding possible safety hazard near Lakeside Terrace.,True
WR000024,S001755,Staff,2024-08-21,Bias Incident,Willow Creek Hall,Medium,Concern raised about bias incident; reporter requests follow-up from staff.,False
WR000025,,Student,2024-08-23,Bullying/Harassment,Bike Path,Medium,A concern was submitted regarding possible bullying/harassment near Bike Path.,False
WR000026,S009585,Community Member,2024-08-24,Bullying/Harassment,Riverbend Hall,Low,Submission describes an ongoing issue related to bullying/harassment at Riverbend Hall.,False
WR000027,S001031,Anonymous,2024-08-24,Hazing,East Lot,Low,Reporter states they witnessed behavior consistent with hazing.,True
WR000028,,Anonymous,2024-08-24,Safety Hazard,Student Union,Medium,Reporter describes an incident involving safety hazard that occurred at Student Union.,True
WR000029,,Anonymous,2024-08-25,Theft,Engineering Annex,Low,Concern raised about theft; reporter requests follow-up from staff.,True
WR000030,S007394,Parent,2024-08-25,Safety Hazard,Highland Hall,High,Reporter describes an incident involving safety hazard that occurred at Highland Hall.,False
WR000031,S000702,Anonymous,2024-08-26,Safety Hazard,Engineering Annex,Medium,Submission describes an ongoing issue related to safety hazard at Engineering Annex.,True
WR000032,S008365,Student,2024-08-26,Hazing,Bike Path,Medium,Reporter describes an incident involving hazing that occurred at Bike Path.,False
WR000033,,Faculty,2024-08-26,Property Damage,Off-Campus Housing,Low,Concern raised about property damage; reporter requests follow-up from staff.,False
WR000034,,Student,2024-08-26,Property Damage,Main Quad,High,Reporter states they witnessed behavior consistent with property damage.,False
WR000035,,Student,2024-08-27,Bullying/Harassment,Stadium,High,Reporter states they witnessed behavior consistent with bullying/harassment.,False
WR000036,S001057,Anonymous,2024-08-28,Discrimination,Recreation Center,Medium,Reporter describes an incident involving discrimination that occurred at Recreation Center.,True
WR000037,S003411,Community Member,2024-08-29,Alcohol/Drug Concern,Stadium,High,Reporter describes an incident involving alcohol/drug concern that occurred at Stadium.,False
WR000038,S002761,Faculty,2024-08-30,Property Damage,Birchwood Hall,Low,Reporter states they witnessed behavior consistent with property damage.,False
WR000039,S007441,Staff,2024-08-31,Sexual Misconduct,Stadium,Medium,Concern raised about sexual misconduct; reporter requests follow-up from staff.,False
WR000040,,Faculty,2024-09-01,Sexual Misconduct,Science Building,Medium,Reporter describes an incident involving sexual misconduct that occurred at Science Building.,False
WR000041,,Anonymous,2024-09-02,Sexual Misconduct,Fine Arts Center,Urgent,Concern raised about sexual misconduct; reporter requests follow-up from staff.,True
WR000042,S003827,Staff,2024-09-02,Other,Birchwood Hall,Medium,Submission describes an ongoing issue related to other at Birchwood Hall.,False
WR000043,S007705,Student,2024-09-03,Discrimination,Birchwood Hall,Low,Submission describes an ongoing issue related to discrimination at Birchwood Hall.,False
WR000044,S002288,Staff,2024-09-05,Safety Hazard,Sunrise Commons,Medium,Submission describes an ongoing issue related to safety hazard at Sunrise Commons.,False
WR000045,S000653,Faculty,2024-09-05,Bias Incident,East Lot,Medium,Submission describes an ongoing issue related to bias incident at East Lot.,False
WR000046,,Student,2024-09-06,Other,Cedar Crest Hall,Medium,Submission describes an ongoing issue related to other at Cedar Crest Hall.,False
WR000047,,Staff,2024-09-06,Alcohol/Drug Concern,Bellview Hall,Medium,A concern was submitted regarding possible alcohol/drug concern near Bellview Hall.,False
WR000048,,Student,2024-09-08,Bullying/Harassment,Northgate Hall,High,A concern was submitted regarding possible bullying/harassment near Northgate Hall.,False
WR000049,S006416,Faculty,2024-09-10,Theft,Library,Urgent,Reporter describes an incident involving theft that occurred at Library.,False
WR000050,S006725,Faculty,2024-09-10,Mental Health Concern,Summit House,High,Reporter describes an incident involving mental health concern that occurred at Summit House.,False
WR000051,S006416,Anonymous,2024-09-11,Theft,Off-Campus Housing,Low,Concern raised about theft; reporter requests follow-up from staff.,True
WR000052,S006996,Student,2024-09-11,Sexual Misconduct,Sunrise Commons,Low,A concern was submitted regarding possible sexual misconduct near Sunrise Commons.,False
WR000053,S001383,Staff,2024-09-12,Bias Incident,Online / Remote,Low,Reporter states they witnessed behavior consistent with bias incident.,False
WR000054,S000769,Faculty,2024-09-12,Mental Health Concern,Sunrise Commons,Medium,A concern was submitted regarding possible mental health concern near Sunrise Commons.,False
WR000055,,Student,2024-09-12,Alcohol/Drug Concern,Off-Campus,High,A concern was submitted regarding possible alcohol/drug concern near Off-Campus.,False
WR000056,S005187,Community Member,2024-09-13,Other,Off-Campus Housing,High,Submission describes an ongoing issue related to other at Off-Campus Housing.,False
WR000057,,Community Member,2024-09-13,Sexual Misconduct,Meadowbrook Hall,Low,Concern raised about sexual misconduct; reporter requests follow-up from staff.,False
WR000058,S006215,Community Member,2024-09-14,Discrimination,Meadowbrook Hall,Urgent,Concern raised about discrimination; reporter requests follow-up from staff.,False
WR000059,S008546,Student,2024-09-14,Theft,Harborview Hall,Medium,Reporter describes an incident involving theft that occurred at Harborview Hall.,False
WR000060,S002011,Faculty,2024-09-14,Hazing,Highland Hall,Low,Concern raised about hazing; reporter requests follow-up from staff.,False
WR000061,S000325,Faculty,2024-09-15,Alcohol/Drug Concern,Recreation Center,Medium,Reporter describes an incident involving alcohol/drug concern that occurred at Recreation Center.,False
WR000062,S008521,Parent,2024-09-15,Theft,Recreation Center,Medium,A concern was submitted regarding possible theft near Recreation Center.,False
WR000063,,Staff,2024-09-16,Bullying/Harassment,Maple Ridge Hall,High,A concern was submitted regarding possible bullying/harassment near Maple Ridge Hall.,False
WR000064,S006085,Anonymous,2024-09-16,Discrimination,Meadowbrook Hall,Low,Reporter describes an incident involving discrimination that occurred at Meadowbrook Hall.,True
WR000065,,Faculty,2024-09-17,Discrimination,Library,Low,Reporter states they witnessed behavior consistent with discrimination.,False
WR000066,,Student,2024-09-18,Bullying/Harassment,Willow Creek Hall,High,Reporter states they witnessed behavior consistent with bullying/harassment.,False
WR000067,,Anonymous,2024-09-18,Property Damage,Engineering Annex,High,Concern raised about property damage; reporter requests follow-up from staff.,True
WR000068,S002922,Staff,2024-09-19,Theft,Main Quad,Medium,Reporter states they witnessed behavior consistent with theft.,False
WR000069,S000769,Anonymous,2024-09-21,Property Damage,Main Quad,Medium,Reporter describes an incident involving property damage that occurred at Main Quad.,True
WR000070,,Student,2024-09-22,Sexual Misconduct,Founders Hall,Medium,Reporter describes an incident involving sexual misconduct that occurred at Founders Hall.,False
WR000071,S009804,Staff,2024-09-22,Safety Hazard,Off-Campus Housing,Low,A concern was submitted regarding possible safety hazard near Off-Campus Housing.,False
WR000072,S002154,Parent,2024-09-23,Bias Incident,Science Building,High,Reporter describes an incident involving bias incident that occurred at Science Building.,False
WR000073,S004541,Student,2024-09-23,Bias Incident,West Parking Garage,Medium,Reporter states they witnessed behavior consistent with bias incident.,False
WR000074,S006407,Community Member,2024-09-24,Hazing,Maple Ridge Hall,Urgent,Concern raised about hazing; reporter requests follow-up from staff.,False
WR000075,S008763,Staff,2024-09-25,Property Damage,Fine Arts Center,Medium,Reporter describes an incident involving property damage that occurred at Fine Arts Center.,False
WR000076,,Anonymous,2024-09-26,Other,Off-Campus Housing,High,Submission describes an ongoing issue related to other at Off-Campus Housing.,True
WR000077,S001137,Anonymous,2024-09-27,Safety Hazard,Main Quad,Low,A concern was submitted regarding possible safety hazard near Main Quad.,True
WR000078,,Staff,2024-09-27,Mental Health Concern,Off-Campus Housing,Medium,Reporter describes an incident involving mental health concern that occurred at Off-Campus Housing.,False
WR000079,S009917,Student,2024-09-27,Mental Health Concern,Library,Low,Concern raised about mental health concern; reporter requests follow-up from staff.,False
WR000080,S003324,Student,2024-09-28,Safety Hazard,Birchwood Hall,Low,Submission describes an ongoing issue related to safety hazard at Birchwood Hall.,False
WR000081,S000589,Student,2024-10-03,Bullying/Harassment,Willow Creek Hall,Medium,Concern raised about bullying/harassment; reporter requests follow-up from staff.,False
WR000082,,Anonymous,2024-10-03,Bullying/Harassment,Off-Campus,Low,Reporter states they witnessed behavior consistent with bullying/harassment.,True
WR000083,S005967,Staff,2024-10-04,Discrimination,Northgate Hall,Medium,Reporter states they witnessed behavior consistent with discrimination.,False
WR000084,S001215,Student,2024-10-05,Alcohol/Drug Concern,Main Quad,Medium,Submission describes an ongoing issue related to alcohol/drug concern at Main Quad.,False
WR000085,S009087,Student,2024-10-07,Discrimination,Birchwood Hall,Low,A concern was submitted regarding possible discrimination near Birchwood Hall.,False
WR000086,,Community Member,2024-10-09,Property Damage,Engineering Annex,Low,Reporter states they witnessed behavior consistent with property damage.,False
WR000087,,Staff,2024-10-09,Hazing,Stadium,Low,Reporter states they witnessed behavior consistent with hazing.,False
WR000088,,Staff,2024-10-09,Mental Health Concern,Online / Remote,Low,Submission describes an ongoing issue related to mental health concern at Online / Remote.,False
WR000089,S003916,Student,2024-10-10,Property Damage,Student Union,Medium,Concern raised about property damage; reporter requests follow-up from staff.,False
WR000090,,Student,2024-10-10,Property Damage,Bellview Hall,Medium,A concern was submitted regarding possible property damage near Bellview Hall.,False
WR000091,,Community Member,2024-10-11,Mental Health Concern,Highland Hall,High,Reporter describes an incident involving mental health concern that occurred at Highland Hall.,False
WR000092,,Anonymous,2024-10-11,Mental Health Concern,Aspen Court,Low,Reporter states they witnessed behavior consistent with mental health concern.,True
WR000093,S005522,Anonymous,2024-10-12,Other,Founders Hall,Low,Reporter states they witnessed behavior consistent with other.,True
WR000094,S002711,Anonymous,2024-10-12,Bullying/Harassment,Highland Hall,Medium,A concern was submitted regarding possible bullying/harassment near Highland Hall.,True
WR000095,,Student,2024-10-12,Theft,Engineering Annex,Low,Concern raised about theft; reporter requests follow-up from staff.,False
WR000096,,Anonymous,2024-10-13,Mental Health Concern,Student Union,Medium,Concern raised about mental health concern; reporter requests follow-up from staff.,True
WR000097,,Student,2024-10-15,Academic Dishonesty,Riverbend Hall,Medium,A concern was submitted regarding possible academic dishonesty near Riverbend Hall.,False
WR000098,,Staff,2024-10-15,Theft,Fine Arts Center,Medium,A concern was submitted regarding possible theft near Fine Arts Center.,False
WR000099,,Student,2024-10-16,Property Damage,Cedar Crest Hall,Medium,A concern was submitted regarding possible property damage near Cedar Crest Hall.,False
WR000100,S000814,Anonymous,2024-10-18,Bias Incident,Birchwood Hall,High,A concern was submitted regarding possible bias incident near Birchwood Hall.,True
WR000101,,Student,2024-10-18,Mental Health Concern,Main Quad,Medium,Concern raised about mental health concern; reporter requests follow-up from staff.,False
WR000102,,Community Member,2024-10-19,Bias Incident,Harborview Hall,Medium,Reporter describes an incident involving bias incident that occurred at Harborview Hall.,False
