report_id,student_id,incident_date,location,incident_type,severity,status,narrative
CS000001,S001307,2024-08-02,Fine Arts Center,Noise Complaint,High,Under Investigation,Student was involved in a noise complaint reported near Fine Arts Center.
CS000002,S001092,2024-08-02,Lakeside Terrace,Harassment,Low,Closed,Incident occurred at Lakeside Terrace. Responding staff documented a harassment.
CS000003,S000388,2024-08-03,Willow Creek Hall,Theft,High,Under Investigation,A theft was observed and documented at Willow Creek Hall.
CS000004,S004996,2024-08-03,Meadowbrook Hall,Theft,Medium,Closed,Incident occurred at Meadowbrook Hall. Responding staff documented a theft.
CS000005,S002463,2024-08-04,Birchwood Hall,Trespassing,Low,Closed,Student was involved in a trespassing reported near Birchwood Hall.
CS000006,S004903,2024-08-04,Bellview Hall,Physical Altercation,Low,Under Investigation,A physical altercation was observed and documented at Bellview Hall.
CS000007,S004370,2024-08-04,Bellview Hall,Medical Emergency,Low,Closed,Incident occurred at Bellview Hall. Responding staff documented a medical emergency.
CS000008,S000343,2024-08-04,Recreation Center,Disorderly Conduct,Low,Under Investigation,Campus Safety was dispatched to Recreation Center after a report of disorderly conduct.
CS000009,S000246,2024-08-06,Founders Hall,Physical Altercation,High,Referred to Conduct Board,Campus Safety was dispatched to Founders Hall after a report of physical altercation.
CS000010,S001397,2024-08-06,Aspen Court,Trespassing,Low,Closed,Campus Safety was dispatched to Aspen Court after a report of trespassing.
CS000011,S000882,2024-08-08,East Lot,Alcohol Policy Violation,High,Open,Incident occurred at East Lot. Responding staff documented a alcohol policy violation.
CS000012,S006881,2024-08-09,Lakeside Terrace,Alcohol Policy Violation,Medium,Referred to Conduct Board,A alcohol policy violation was observed and documented at Lakeside Terrace.
CS000013,S008234,2024-08-09,Harborview Hall,Vandalism,Low,Open,Reporting officer responded to Harborview Hall regarding a vandalism involving the listed student.
CS000014,S006345,2024-08-10,Highland Hall,Medical Emergency,Low,Open,Incident occurred at Highland Hall. Responding staff documented a medical emergency.
CS000015,S008153,2024-08-11,Riverbend Hall,Medical Emergency,Low,Under Investigation,Incident occurred at Riverbend Hall. Responding staff documented a medical emergency.
CS000016,S004394,2024-08-12,Engineering Annex,Noise Complaint,Low,Closed,Reporting officer responded to Engineering Annex regarding a noise complaint involving the listed student.
CS000017,S001485,2024-08-13,Birchwood Hall,Suspicious Activity,Medium,Under Investigation,Campus Safety was dispatched to Birchwood Hall after a report of suspicious activity.
CS000018,S007190,2024-08-14,Maple Ridge Hall,Harassment,Low,Closed,A harassment was observed and documented at Maple Ridge Hall.
CS000019,S001412,2024-08-14,Student Union,Physical Altercation,Medium,Closed,A physical altercation was observed and documented at Student Union.
CS000020,S009009,2024-08-14,Library,Vandalism,Medium,Closed,Student was involved in a vandalism reported near Library.
CS000021,S007197,2024-08-16,Northgate Hall,Disorderly Conduct,Low,Under Investigation,A disorderly conduct was observed and documented at Northgate Hall.
CS000022,S000928,2024-08-17,Fine Arts Center,Vandalism,High,Closed,A vandalism was observed and documented at Fine Arts Center.
CS000023,S008910,2024-08-18,Birchwood Hall,Medical Emergency,Low,Under Investigation,Student was involved in a medical emergency reported near Birchwood Hall.
CS000024,S000337,2024-08-18,Off-Campus Housing,Disorderly Conduct,Medium,Referred to Conduct Board,Campus Safety was dispatched to Off-Campus Housing after a report of disorderly conduct.
CS000025,S004023,2024-08-18,Cedar Crest Hall,Harassment,Low,Open,Incident occurred at Cedar Crest Hall. Responding staff documented a harassment.
